episode,chosen_zone,chose_optimal,chose_left,angle_diff_chosen,angle_diff_other,d_chosen_to_goal,d_other_to_goal
59,blue_zone0,True,False,65.97324595145867,65.97324586136475,1.1295480209687367,3.229890379769661
61,blue_zone1,False,True,73.81190505196578,73.81190471785476,3.480634163193912,1.0065101737844482
62,blue_zone0,True,False,76.31027562935901,76.31027534168733,1.0069853866609322,3.06388462553961
65,blue_zone0,True,True,68.57855160167604,68.57855189941199,1.130155182863813,3.6292338163733047
66,blue_zone0,True,False,77.97247870747705,282.02752131984755,1.0736645476006628,3.2195783760296544
67,blue_zone0,True,True,272.2605251611419,87.73947654064015,1.0946607125325476,2.8273667700625595
68,blue_zone0,True,False,80.07888196512869,80.07888217540709,1.1071268568761234,2.9562559578255714
69,blue_zone1,False,False,80.17290792145337,279.8270923587407,3.190602368507475,1.301555371234111
71,blue_zone1,False,True,282.9982356394048,77.0017642394905,3.0224519765083526,1.0071157295964681
72,blue_zone1,False,False,67.58904920794622,67.58904927889762,3.290202900271265,1.0809744701295927
73,blue_zone1,False,False,76.01007162182738,76.01007188563501,3.504311389473808,1.0053793869601437
74,blue_zone0,True,False,86.56785111962492,86.56785052981904,1.1550991807218631,3.167155078231043
